Gender,Company Type,WFH Setup Available,Age,Tenure,Vacations taken,Designation,Average Hours worked per day,Employee satisfaction score,Mental Fatigue Score
1,0,0,52,18,8,2,3.0,3.8,0.16
0,0,1,26,12,4,1,2.0,5.0,0.36
1,1,1,63,20,4,2,4.0,5.8,0.49
0,0,1,59,20,12,1,1.0,2.6,0.2
1,0,0,63,10,9,3,7.0,6.9,0.52
0,1,1,44,8,10,2,4.0,3.6,0.29
1,0,0,62,16,11,3,6.0,7.9,0.62
1,0,1,31,16,6,2,4.0,4.4,0.33
1,0,0,23,15,9,3,6.0,5.9,0.56
1,1,0,27,1,2,3,6.0,5.9,0.67
0,1,1,56,2,1,2,3.0,5.3,0.5
0,0,1,27,20,12,0,1.0,1.8,0.12
0,0,1,47,13,10,2,5.0,5.9,0.4
1,1,0,34,12,0,1,3.0,5.9,0.33
0,1,1,30,19,3,1,3.0,5.8,0.51
1,0,1,35,20,10,3,5.0,4.7,0.32
0,0,1,59,4,11,1,2.0,5.9,0.39
0,0,0,35,11,7,3,6.0,6.7,0.59
1,1,1,60,20,12,2,4.0,4.0,0.22
1,0,0,58,9,6,3,5.0,5.9,0.68
0,1,0,63,6,0,2,4.0,7.6,0.57
0,0,1,27,3,5,1,3.0,6.3,0.47
0,0,1,25,17,0,1,3.0,6.7,0.46
1,1,1,62,13,10,3,4.0,7.7,0.61
1,0,0,22,5,2,3,8.0,5.9,0.91
1,0,1,51,20,3,3,4.0,5.8,0.4
0,0,0,60,3,8,2,4.0,6.6,0.44
1,0,0,23,10,12,2,4.0,7.4,0.6
1,0,0,31,16,1,2,5.0,6.7,0.46
1,0,1,37,6,7,2,4.0,5.9,0.45
1,1,1,51,18,0,1,2.0,3.6,0.2
1,0,1,37,5,4,1,2.0,3.9,0.2
1,0,0,50,7,8,0,1.0,3.0,0.19
0,0,0,42,11,8,1,3.0,4.7,0.31
0,1,0,44,11,8,4,8.0,8.7,0.81
0,0,1,57,3,3,3,5.0,4.4,0.39
1,0,1,51,9,3,3,6.0,5.8,0.42
1,1,1,31,10,3,0,2.0,3.9,0.19
1,0,1,31,9,6,3,7.0,6.6,0.56
1,0,0,45,20,9,4,7.0,7.3,0.53
1,0,1,29,7,3,3,5.0,5.9,0.5
1,1,1,34,4,1,1,3.0,5.4,0.33
0,0,0,64,5,10,2,5.0,5.0,0.45
1,0,1,37,2,8,2,3.0,6.0,0.36
1,0,1,58,13,4,3,6.0,7.5,0.59
0,0,1,48,1,7,2,3.0,5.9,0.45
0,0,0,42,11,1,4,10.0,10.0,0.94
1,1,1,54,1,9,3,6.0,5.9,0.45
1,1,0,50,9,7,3,4.0,7.7,0.61
1,1,1,55,16,4,1,3.0,6.0,0.37
0,0,0,48,7,6,2,6.0,7.4,0.65
1,0,1,35,5,0,2,5.0,6.4,0.49
1,0,0,23,2,9,1,2.0,5.1,0.45
0,0,1,41,6,11,1,3.0,5.6,0.38
0,1,0,55,14,7,2,5.0,7.4,0.62
