,Gender,Company Type,WFH Setup Available,Age,Tenure,Vacations taken,Designation,Average Hours worked per day,Employee satisfaction score,Mental Fatigue Score,Total_Days
0,1,0,0,52,18,8,2,3.0,3.8,0.16,5141
1,0,0,1,26,12,4,1,2.0,5.0,0.36,5080
2,1,1,1,63,20,4,2,4.0,5.8,0.49,5345
3,0,0,1,59,20,12,1,1.0,2.6,0.2,5107
4,1,0,0,63,10,9,3,7.0,6.9,0.52,5209
5,0,1,1,44,8,10,2,4.0,3.6,0.29,5084
6,1,0,0,62,16,11,3,6.0,7.9,0.62,5413
7,1,0,1,31,16,6,2,4.0,4.4,0.33,5110
8,1,0,0,23,15,9,3,6.0,5.9,0.56,5053
9,1,1,0,27,1,2,3,6.0,5.9,0.67,5346
10,0,1,1,56,2,1,2,3.0,5.3,0.5,5339
11,0,0,1,27,20,12,0,1.0,1.8,0.12,5282
12,0,0,1,47,13,10,2,5.0,5.9,0.4,5395
13,1,1,0,34,12,0,1,3.0,5.9,0.33,5361
14,0,1,1,30,19,3,1,3.0,5.8,0.51,5280
15,1,0,1,35,20,10,3,5.0,4.7,0.32,5381
16,0,0,1,59,4,11,1,2.0,5.9,0.39,5338
17,0,0,0,35,11,7,3,6.0,6.7,0.59,5327
18,1,1,1,60,20,12,2,4.0,4.0,0.22,5265
19,1,0,0,58,9,6,3,5.0,5.9,0.68,5236
20,0,1,0,63,6,0,2,4.0,7.6,0.57,5171
21,0,0,1,27,3,5,1,3.0,6.3,0.47,5400
22,0,0,1,25,17,0,1,3.0,6.7,0.46,5290
23,1,1,1,62,13,10,3,4.0,7.7,0.61,5093
24,1,0,0,22,5,2,3,8.0,5.9,0.91,5157
25,1,0,1,51,20,3,3,4.0,5.8,0.4,5132
26,0,0,0,60,3,8,2,4.0,6.6,0.44,5130
27,1,0,0,23,10,12,2,4.0,7.4,0.6,5153
28,1,0,0,31,16,1,2,5.0,6.7,0.46,5155
29,1,0,1,37,6,7,2,4.0,5.9,0.45,5084
30,1,1,1,51,18,0,1,2.0,3.6,0.2,5282
31,1,0,1,37,5,4,1,2.0,3.9,0.2,5064
32,1,0,0,50,7,8,0,1.0,3.0,0.19,5130
33,0,0,0,42,11,8,1,3.0,4.7,0.31,5345
34,0,1,0,44,11,8,4,8.0,8.7,0.81,5291
35,0,0,1,57,3,3,3,5.0,4.4,0.39,5198
36,1,0,1,51,9,3,3,6.0,5.8,0.42,5202
37,1,1,1,31,10,3,0,2.0,3.9,0.19,5246
38,1,0,1,31,9,6,3,7.0,6.6,0.56,5296
39,1,0,0,45,20,9,4,7.0,7.3,0.53,5111
40,1,0,1,29,7,3,3,5.0,5.9,0.5,5357
41,1,1,1,34,4,1,1,3.0,5.4,0.33,5241
42,0,0,0,64,5,10,2,5.0,5.0,0.45,5366
43,1,0,1,37,2,8,2,3.0,6.0,0.36,5239
44,1,0,1,58,13,4,3,6.0,7.5,0.59,5072
45,0,0,1,48,1,7,2,3.0,5.9,0.45,5197
46,0,0,0,42,11,1,4,10.0,10.0,0.94,5313
47,1,1,1,54,1,9,3,6.0,5.9,0.45,5329
48,1,1,0,50,9,7,3,4.0,7.7,0.61,5193
49,1,1,1,55,16,4,1,3.0,6.0,0.37,5174
50,0,0,0,48,7,6,2,6.0,7.4,0.65,5334
51,1,0,1,35,5,0,2,5.0,6.4,0.49,5211
52,1,0,0,23,2,9,1,2.0,5.1,0.45,5274
53,0,0,1,41,6,11,1,3.0,5.6,0.38,5392
54,0,1,0,55,14,7,2,5.0,7.4,0.62,5132
55,1,1,1,63,10,12,3,5.0,6.1,0.39,5161
56,1,1,1,27,5,7,2,4.0,3.1,0.15,5268
57,0,0,0,64,5,5,2,5.0,8.0,0.61,5058
58,1,1,0,52,18,11,1,2.0,4.0,0.26,5316
59,1,0,0,39,2,2,2,2.0,3.6,0.28,5058
60,0,1,1,37,11,5,2,5.0,8.7,0.71,5359
61,0,1,0,51,4,9,3,4.0,8.0,0.68,5300
62,1,0,0,26,18,9,3,5.0,6.8,0.57,5407
63,1,0,1,41,16,7,2,3.0,4.9,0.39,5090
64,1,1,0,61,1,11,3,6.0,7.9,0.61,5160
65,0,1,0,52,18,6,3,6.0,7.6,0.62,5252
66,1,0,0,50,7,9,5,9.0,9.2,0.8,5356
67,0,0,1,33,16,6,4,6.0,6.5,0.63,5291
68,1,0,0,39,13,4,3,5.0,6.8,0.6,5182
69,1,1,0,33,10,2,4,8.0,8.7,0.79,5123
70,0,0,1,34,5,4,2,5.0,6.2,0.39,5188
71,1,0,0,49,7,6,3,5.0,5.8,0.36,5407
72,1,1,0,50,6,4,2,4.0,6.6,0.5,5216
73,0,1,0,52,10,3,4,7.0,8.2,0.72,5160
74,1,0,1,55,17,10,2,3.0,4.9,0.34,5228
75,1,0,0,33,8,4,1,2.0,4.1,0.27,5380
76,0,0,0,51,6,11,3,7.0,7.4,0.66,5201
77,1,1,1,33,16,10,0,1.0,5.9,0.04,5293
78,0,0,1,21,19,12,1,2.0,4.4,0.27,5273
79,1,0,0,47,1,0,2,6.0,6.9,0.67,5084
80,1,1,1,57,7,9,1,2.0,5.3,0.38,5120
81,1,0,1,45,2,7,2,2.0,4.3,0.28,5336
82,0,1,1,62,15,8,0,1.0,0.8,0.05,5144
83,1,0,1,49,10,3,2,4.0,2.9,0.22,5327
84,1,0,1,59,19,11,1,3.0,5.0,0.39,5343
85,0,0,1,26,3,8,1,4.0,6.9,0.52,5274
86,1,0,0,26,14,9,3,5.0,4.7,0.39,5154
87,1,0,0,62,12,5,1,3.0,2.0,0.11,5371
88,1,0,0,64,18,1,2,4.0,5.4,0.44,5152
89,0,1,0,39,17,6,2,5.0,6.1,0.5,5230
90,1,1,1,46,17,5,1,4.0,5.1,0.41,5114
91,1,0,1,59,5,5,1,2.0,3.8,0.45,5193
92,0,1,0,35,13,1,4,9.0,5.9,0.76,5393
93,1,0,1,32,16,0,3,5.0,4.7,0.43,5309
94,0,0,1,40,11,7,3,5.0,5.4,0.46,5115
95,1,0,0,30,3,2,4,7.0,9.1,0.85,5384
96,0,0,1,34,16,0,1,3.0,5.0,0.35,5412
97,0,1,0,61,4,3,1,1.0,5.9,0.45,5342
98,0,1,1,46,17,3,2,4.0,4.3,0.34,5328
99,1,0,1,28,8,12,2,4.0,6.7,0.44,5182
100,1,1,0,33,19,4,2,5.0,5.7,0.55,5130
101,0,0,1,21,3,2,4,6.0,6.8,0.62,5095
102,0,0,0,28,7,10,3,6.0,7.6,0.72,5185
103,0,1,1,35,17,12,3,8.0,8.3,0.71,5080
104,1,1,0,65,10,5,1,3.0,5.5,0.39,5194
105,1,0,0,36,19,12,1,3.0,5.3,0.48,5235
106,1,0,0,29,3,4,3,7.0,8.0,0.7,5288
107,0,0,1,58,7,12,4,6.0,6.4,0.56,5063
108,1,0,1,24,15,6,1,3.0,3.6,0.27,5163
109,1,1,1,56,6,3,2,5.0,7.0,0.66,5229
110,1,1,0,58,12,10,3,7.0,7.6,0.56,5113
111,0,0,0,30,11,11,2,5.0,8.7,0.79,5288
112,1,1,1,25,17,12,0,1.0,2.6,0.18,5365
113,1,0,1,51,19,11,2,4.0,4.7,0.33,5316
114,0,0,1,24,13,6,2,4.0,6.4,0.4,5373
115,1,0,0,21,18,5,2,5.0,5.8,0.39,5353
116,1,0,0,40,20,6,1,1.0,3.3,0.23,5192
117,1,1,1,22,20,0,2,4.0,5.9,0.45,5411
118,1,1,0,59,14,0,2,4.0,7.8,0.67,5129
119,0,1,1,24,20,0,1,3.0,7.0,0.52,5096
120,1,0,0,33,18,1,4,7.0,7.2,0.6,5169
121,0,0,1,34,19,2,3,7.0,7.9,0.59,5137
122,1,1,0,49,11,12,3,5.0,5.9,0.45,5263
123,1,0,1,35,17,1,1,3.0,5.9,0.36,5155
124,0,0,0,62,5,3,1,3.0,4.4,0.29,5352
125,0,0,1,63,3,2,2,5.0,5.2,0.34,5363
126,1,1,1,35,11,10,2,4.0,5.3,0.34,5329
127,0,0,0,51,12,8,3,5.0,5.9,0.45,5381
128,1,0,0,49,9,8,4,6.0,5.9,0.67,5076
129,1,1,1,62,16,6,4,4.0,8.9,0.76,5166
130,1,1,1,29,20,12,3,4.0,5.2,0.46,5154
131,0,0,1,55,12,6,2,5.0,4.5,0.36,5360
132,1,1,0,41,17,4,2,3.0,6.6,0.45,5071
133,1,1,1,29,13,10,3,5.0,3.8,0.27,5396
134,0,1,0,55,8,10,3,7.0,7.6,0.65,5389
135,1,0,1,43,10,2,1,4.0,5.9,0.45,5284
136,1,1,1,42,16,12,3,6.0,5.6,0.34,5278
137,1,0,1,22,13,8,1,3.0,5.4,0.37,5192
138,0,1,1,55,19,7,1,2.0,4.9,0.25,5235
139,0,0,0,55,18,6,2,5.0,7.3,0.57,5287
140,0,0,0,39,2,8,2,5.0,5.6,0.52,5291
141,1,1,1,53,3,8,3,4.0,5.7,0.45,5155
142,1,1,0,29,10,3,4,8.0,7.8,0.75,5125
143,1,1,1,60,20,8,4,7.0,6.7,0.55,5224
144,1,0,0,44,20,3,1,4.0,6.5,0.43,5344
145,1,0,1,21,4,6,0,1.0,1.8,0.1,5187
146,1,1,0,65,8,9,3,6.0,8.1,0.68,5177
147,0,1,0,48,18,0,2,5.0,6.9,0.45,5066
148,0,0,1,63,18,1,3,7.0,6.4,0.56,5298
149,0,0,1,23,9,4,3,8.0,7.2,0.73,5389
150,1,0,0,44,19,3,2,5.0,8.6,0.7,5166
151,0,0,0,58,9,5,2,5.0,5.9,0.58,5321
152,0,1,0,34,2,7,4,8.0,9.5,0.88,5061
153,0,1,1,61,6,4,2,6.0,6.8,0.63,5189
154,1,0,0,33,9,4,2,5.0,6.5,0.62,5347
155,1,0,1,37,4,5,2,3.0,3.5,0.25,5157
156,0,0,0,43,11,8,2,3.0,4.8,0.4,5300
157,0,1,0,29,16,4,3,8.0,7.6,0.77,5379
158,0,1,1,43,11,3,3,6.0,6.2,0.58,5367
159,1,1,1,22,6,7,3,6.0,3.6,0.3,5160
160,0,1,0,55,10,2,3,6.0,8.0,0.61,5308
161,1,0,1,31,18,7,3,5.0,6.0,0.4,5117
162,1,0,1,31,5,11,1,3.0,3.8,0.33,5350
163,1,1,1,32,20,5,1,2.0,2.4,0.06,5321
164,0,0,1,38,20,3,1,4.0,4.3,0.36,5194
165,1,0,1,34,14,3,1,2.0,3.7,0.28,5153
166,0,0,1,65,17,0,2,6.0,5.9,0.45,5146
167,0,1,1,51,7,12,2,5.0,5.6,0.37,5354
168,1,0,1,62,18,8,0,1.0,1.0,0.03,5271
169,1,1,1,47,12,4,2,5.0,7.2,0.67,5164
170,0,0,1,63,7,0,1,3.0,6.7,0.46,5332
171,1,0,1,32,3,4,1,2.0,5.9,0.45,5390
172,1,0,1,48,18,3,3,8.0,7.5,0.72,5051
173,1,0,0,32,4,2,3,6.0,5.9,0.69,5248
174,1,0,0,63,7,8,4,7.0,7.5,0.65,5328
175,1,1,0,48,16,5,0,1.0,4.0,0.24,5360
176,1,0,1,62,2,9,1,3.0,5.3,0.41,5080
177,1,1,0,26,16,12,2,5.0,7.5,0.68,5138
178,1,0,1,56,13,9,1,2.0,5.9,0.42,5398
179,0,1,0,32,13,1,4,7.0,7.7,0.72,5385
180,0,0,1,58,7,8,0,2.0,4.4,0.33,5327
181,1,0,1,40,19,0,2,3.0,5.9,0.37,5120
182,0,0,1,53,10,3,4,6.0,5.9,0.6,5381
183,0,0,1,36,10,6,3,5.0,6.5,0.48,5128
184,0,1,1,50,20,5,2,4.0,5.5,0.48,5376
185,0,0,0,33,14,8,2,5.0,5.0,0.36,5085
186,1,0,1,34,15,4,1,1.0,5.9,0.24,5301
187,0,1,0,65,5,3,4,10.0,9.2,0.91,5103
188,0,1,1,51,17,6,2,5.0,5.0,0.45,5243
189,1,1,1,55,14,4,1,2.0,4.1,0.24,5057
190,1,0,0,44,2,10,3,6.0,5.5,0.45,5086
191,0,0,0,62,20,11,5,9.0,8.8,0.85,5242
192,1,0,0,33,7,7,2,4.0,5.5,0.34,5274
193,0,1,1,64,18,7,1,3.0,5.9,0.36,5081
194,1,0,1,24,18,1,2,4.0,4.5,0.34,5191
195,0,1,0,35,10,2,3,6.0,8.0,0.59,5295
196,1,0,1,31,5,11,2,4.0,5.8,0.44,5211
197,0,0,0,58,16,5,1,3.0,4.4,0.38,5091
198,1,1,1,65,4,2,2,4.0,6.1,0.45,5061
199,0,1,0,31,14,0,3,6.0,7.5,0.59,5051
200,1,0,0,27,4,10,2,7.0,8.0,0.7,5243
201,0,1,0,32,1,6,2,3.0,6.1,0.42,5171
202,0,1,1,40,17,2,1,2.0,5.1,0.46,5268
