,Gender,Company Type,WFH Setup Available,Age,Tenure,Vacations taken,Designation,Average Hours worked per day,Employee satisfaction score,Mental Fatigue Score
0,1,0,0,52,18,8,2,3.0,3.8,0.16
1,0,0,1,26,12,4,1,2.0,5.0,0.36
2,1,1,1,63,20,4,2,4.0,5.8,0.49
3,0,0,1,59,20,12,1,1.0,2.6,0.2
4,1,0,0,63,10,9,3,7.0,6.9,0.52
5,0,1,1,44,8,10,2,4.0,3.6,0.29
6,1,0,0,62,16,11,3,6.0,7.9,0.62
7,1,0,1,31,16,6,2,4.0,4.4,0.33
8,1,0,0,23,15,9,3,6.0,5.9,0.56
9,1,1,0,27,1,2,3,6.0,5.9,0.67
10,0,1,1,56,2,1,2,3.0,5.3,0.5
11,0,0,1,27,20,12,0,1.0,1.8,0.12
12,0,0,1,47,13,10,2,5.0,5.9,0.4
13,1,1,0,34,12,0,1,3.0,5.9,0.33
14,0,1,1,30,19,3,1,3.0,5.8,0.51
15,1,0,1,35,20,10,3,5.0,4.7,0.32
16,0,0,1,59,4,11,1,2.0,5.9,0.39
17,0,0,0,35,11,7,3,6.0,6.7,0.59
18,1,1,1,60,20,12,2,4.0,4.0,0.22
19,1,0,0,58,9,6,3,5.0,5.9,0.68
20,0,1,0,63,6,0,2,4.0,7.6,0.57
21,0,0,1,27,3,5,1,3.0,6.3,0.47
22,0,0,1,25,17,0,1,3.0,6.7,0.46
23,1,1,1,62,13,10,3,4.0,7.7,0.61
24,1,0,0,22,5,2,3,8.0,5.9,0.91
25,1,0,1,51,20,3,3,4.0,5.8,0.4
26,0,0,0,60,3,8,2,4.0,6.6,0.44
27,1,0,0,23,10,12,2,4.0,7.4,0.6
28,1,0,0,31,16,1,2,5.0,6.7,0.46
29,1,0,1,37,6,7,2,4.0,5.9,0.45
30,1,1,1,51,18,0,1,2.0,3.6,0.2
31,1,0,1,37,5,4,1,2.0,3.9,0.2
32,1,0,0,50,7,8,0,1.0,3.0,0.19
33,0,0,0,42,11,8,1,3.0,4.7,0.31
34,0,1,0,44,11,8,4,8.0,8.7,0.81
35,0,0,1,57,3,3,3,5.0,4.4,0.39
36,1,0,1,51,9,3,3,6.0,5.8,0.42
37,1,1,1,31,10,3,0,2.0,3.9,0.19
38,1,0,1,31,9,6,3,7.0,6.6,0.56
39,1,0,0,45,20,9,4,7.0,7.3,0.53
40,1,0,1,29,7,3,3,5.0,5.9,0.5
41,1,1,1,34,4,1,1,3.0,5.4,0.33
42,0,0,0,64,5,10,2,5.0,5.0,0.45
43,1,0,1,37,2,8,2,3.0,6.0,0.36
44,1,0,1,58,13,4,3,6.0,7.5,0.59
45,0,0,1,48,1,7,2,3.0,5.9,0.45
46,0,0,0,42,11,1,4,10.0,10.0,0.94
47,1,1,1,54,1,9,3,6.0,5.9,0.45
48,1,1,0,50,9,7,3,4.0,7.7,0.61
49,1,1,1,55,16,4,1,3.0,6.0,0.37
50,0,0,0,48,7,6,2,6.0,7.4,0.65
51,1,0,1,35,5,0,2,5.0,6.4,0.49
52,1,0,0,23,2,9,1,2.0,5.1,0.45
53,0,0,1,41,6,11,1,3.0,5.6,0.38
54,0,1,0,55,14,7,2,5.0,7.4,0.62
55,1,1,1,63,10,12,3,5.0,6.1,0.39
56,1,1,1,27,5,7,2,4.0,3.1,0.15
57,0,0,0,64,5,5,2,5.0,8.0,0.61
58,1,1,0,52,18,11,1,2.0,4.0,0.26
59,1,0,0,39,2,2,2,2.0,3.6,0.28
60,0,1,1,37,11,5,2,5.0,8.7,0.71
61,0,1,0,51,4,9,3,4.0,8.0,0.68
62,1,0,0,26,18,9,3,5.0,6.8,0.57
63,1,0,1,41,16,7,2,3.0,4.9,0.39
64,1,1,0,61,1,11,3,6.0,7.9,0.61
65,0,1,0,52,18,6,3,6.0,7.6,0.62
66,1,0,0,50,7,9,5,9.0,9.2,0.8
67,0,0,1,33,16,6,4,6.0,6.5,0.63
68,1,0,0,39,13,4,3,5.0,6.8,0.6
69,1,1,0,33,10,2,4,8.0,8.7,0.79
70,0,0,1,34,5,4,2,5.0,6.2,0.39
71,1,0,0,49,7,6,3,5.0,5.8,0.36
72,1,1,0,50,6,4,2,4.0,6.6,0.5
73,0,1,0,52,10,3,4,7.0,8.2,0.72
74,1,0,1,55,17,10,2,3.0,4.9,0.34
75,1,0,0,33,8,4,1,2.0,4.1,0.27
76,0,0,0,51,6,11,3,7.0,7.4,0.66
77,1,1,1,33,16,10,0,1.0,5.9,0.04
78,0,0,1,21,19,12,1,2.0,4.4,0.27
79,1,0,0,47,1,0,2,6.0,6.9,0.67
80,1,1,1,57,7,9,1,2.0,5.3,0.38
81,1,0,1,45,2,7,2,2.0,4.3,0.28
82,0,1,1,62,15,8,0,1.0,0.8,0.05
83,1,0,1,49,10,3,2,4.0,2.9,0.22
84,1,0,1,59,19,11,1,3.0,5.0,0.39
85,0,0,1,26,3,8,1,4.0,6.9,0.52
86,1,0,0,26,14,9,3,5.0,4.7,0.39
87,1,0,0,62,12,5,1,3.0,2.0,0.11
88,1,0,0,64,18,1,2,4.0,5.4,0.44
89,0,1,0,39,17,6,2,5.0,6.1,0.5
90,1,1,1,46,17,5,1,4.0,5.1,0.41
91,1,0,1,59,5,5,1,2.0,3.8,0.45
92,0,1,0,35,13,1,4,9.0,5.9,0.76
93,1,0,1,32,16,0,3,5.0,4.7,0.43
94,0,0,1,40,11,7,3,5.0,5.4,0.46
95,1,0,0,30,3,2,4,7.0,9.1,0.85
96,0,0,1,34,16,0,1,3.0,5.0,0.35
97,0,1,0,61,4,3,1,1.0,5.9,0.45
98,0,1,1,46,17,3,2,4.0,4.3,0.34
99,1,0,1,28,8,12,2,4.0,6.7,0.44
100,1,1,0,33,19,4,2,5.0,5.7,0.55
101,0,0,1,21,3,2,4,6.0,6.8,0.62
102,0,0,0,28,7,10,3,6.0,7.6,0.72
103,0,1,1,35,17,12,3,8.0,8.3,0.71
104,1,1,0,65,10,5,1,3.0,5.5,0.39
105,1,0,0,36,19,12,1,3.0,5.3,0.48
106,1,0,0,29,3,4,3,7.0,8.0,0.7
107,0,0,1,58,7,12,4,6.0,6.4,0.56
108,1,0,1,24,15,6,1,3.0,3.6,0.27
109,1,1,1,56,6,3,2,5.0,7.0,0.66
110,1,1,0,58,12,10,3,7.0,7.6,0.56
111,0,0,0,30,11,11,2,5.0,8.7,0.79
112,1,1,1,25,17,12,0,1.0,2.6,0.18
113,1,0,1,51,19,11,2,4.0,4.7,0.33
114,0,0,1,24,13,6,2,4.0,6.4,0.4
115,1,0,0,21,18,5,2,5.0,5.8,0.39
116,1,0,0,40,20,6,1,1.0,3.3,0.23
117,1,1,1,22,20,0,2,4.0,5.9,0.45
118,1,1,0,59,14,0,2,4.0,7.8,0.67
119,0,1,1,24,20,0,1,3.0,7.0,0.52
120,1,0,0,33,18,1,4,7.0,7.2,0.6
121,0,0,1,34,19,2,3,7.0,7.9,0.59
122,1,1,0,49,11,12,3,5.0,5.9,0.45
123,1,0,1,35,17,1,1,3.0,5.9,0.36
124,0,0,0,62,5,3,1,3.0,4.4,0.29
